Litterbag,Rebar,Litter,Harvest,LitterHarvest,Days,Co,copepod,DiChi,DiDix,DiEmp,DiPsyMar,DiSim,DiTipDic,EpBae,EpLep,mite,oligochaeta,ostracod,PlCap,PlNem,snail,TrHpt,TrLepLep,TrLim,Abundance,Richness,Ln.Richness,Shannons.H,Simpsons,Evenness,Abundance.log,Richness.log,Shannons.H.log,Simpsons.log,Evenness.log
297,5,Catkins,1,C1,7,0,0,8,0,0,0,0,0,0,6,0,0,14,6,70,0,0,2,0,106,6,1.79,0.88,0.42,0.49,2.03,0.85,0.27,0.15,0.17
311,1,Catkins,1,C1,7,0,2,13,0,0,0,0,0,0,1,0,0,83,5,5,0,0,0,0,109,6,1.79,0.80,0.41,0.44,2.04,0.85,0.25,0.15,0.16
316,1,Leaves,3,L3,37,1,0,4,0,1,0,0,0,0,1,1,0,3,5,3,1,16,0,4,40,11,2.40,0.57,0.21,0.24,1.61,1.08,0.20,0.08,0.09
346,4,Catkins,1,C1,7,0,0,16,0,0,0,1,0,0,2,0,0,13,9,96,0,1,3,0,141,8,2.08,0.93,0.45,0.44,2.15,0.95,0.28,0.16,0.16
370,4,Catkins,3,C3,37,1,8,9,0,3,0,0,0,0,2,5,0,6,0,12,1,23,0,2,72,11,2.40,0.77,0.29,0.32,1.86,1.08,0.25,0.11,0.12
374,3,Catkins,1,C1,7,0,0,17,0,1,0,0,0,0,3,1,0,3,7,35,0,0,0,0,67,7,1.95,0.63,0.27,0.32,1.83,0.90,0.21,0.10,0.12
383,3,Leaves,2,L2,22,0,0,7,0,0,0,0,0,0,5,0,0,7,2,3,0,0,1,1,26,7,1.95,0.35,0.12,0.18,1.43,0.90,0.13,0.05,0.07
384,4,Leaves,1,L1,7,0,0,9,1,0,0,0,0,0,9,2,2,11,8,22,0,1,2,0,67,10,2.30,0.70,0.27,0.30,1.83,1.04,0.23,0.10,0.12
389,1,Leaves,2,L2,22,0,1,6,0,0,0,0,0,0,2,3,0,12,3,1,0,9,1,1,39,10,2.30,0.48,0.17,0.21,1.60,1.04,0.17,0.07,0.08
396,3,Leaves,1,L1,7,0,0,1,0,0,0,0,0,0,7,1,0,3,1,1,0,0,1,0,15,7,1.95,0.21,0.07,0.11,1.20,0.90,0.08,0.03,0.05
406,1,Catkins,3,C3,37,0,49,2,0,3,0,0,0,0,2,6,1,84,1,7,0,39,0,5,199,11,2.40,1.14,0.52,0.48,2.30,1.08,0.33,0.18,0.17
454,3,Leaves,3,L3,37,0,2,5,0,0,0,0,0,0,5,6,0,1,2,3,1,5,0,2,32,10,2.30,0.38,0.13,0.17,1.52,1.04,0.14,0.05,0.07
460,4,Leaves,3,L3,37,0,0,4,0,1,0,0,0,0,1,5,0,1,1,7,3,18,0,2,43,10,2.30,0.45,0.16,0.19,1.64,1.04,0.16,0.07,0.08
477,3,Catkins,3,C3,37,0,19,4,0,0,0,0,0,0,6,2,0,7,0,3,2,7,0,6,56,9,2.20,0.54,0.20,0.25,1.76,1.00,0.19,0.08,0.10
478,5,Leaves,2,L2,22,0,0,2,0,0,0,0,0,0,5,2,0,15,0,1,0,0,0,0,25,5,1.61,0.26,0.10,0.16,1.41,0.78,0.10,0.04,0.06
